cgi,slc_ss,ltime,c19,htr_over
0,0,0,,0
0,0,0.6931471805599453,,0
0,0,1.0986122886681098,,0
0,0,1.3862943611198906,,0
0,0,1.6094379124341003,,0
0,0,1.791759469228055,,0
0,0,0,1,0
0,0,0.6931471805599453,1,0
1,0,1.0986122886681098,1,0
1,0,1.3862943611198906,1,0
1,0,1.6094379124341003,1,0
1,0,1.791759469228055,1,0
0,0,0,0,0
0,0,0.6931471805599453,0,0
0,0,1.0986122886681098,0,0
1,0,1.3862943611198906,0,0
1,0,1.6094379124341003,0,0
1,0,1.791759469228055,0,0
0,0,0,1,0
0,0,0.6931471805599453,1,0
0,0,1.0986122886681098,1,0
1,0,1.3862943611198906,1,0
1,0,1.6094379124341003,1,0
1,0,1.791759469228055,1,0
0,1,0,0,0
0,1,0.6931471805599453,0,0
0,1,1.0986122886681098,0,0
0,1,1.3862943611198906,0,0
0,1,1.6094379124341003,0,0
0,1,1.791759469228055,0,0
0,1,0,0,0
0,1,0.6931471805599453,0,0
0,1,1.0986122886681098,0,0
0,1,1.3862943611198906,0,0
0,1,1.6094379124341003,0,0
1,1,1.791759469228055,0,0
0,0,0,0,0
1,0,0.6931471805599453,0,0
0,0,1.0986122886681098,0,0
1,0,1.3862943611198906,0,0
1,0,1.6094379124341003,0,0
1,0,1.791759469228055,0,0
0,0,0,0,0
0,0,0.6931471805599453,0,0
1,0,1.0986122886681098,0,0
1,0,1.3862943611198906,0,0
1,0,1.6094379124341003,0,0
1,0,1.791759469228055,0,0
0,0,0,0,0
0,0,0.6931471805599453,0,0
0,0,1.0986122886681098,0,0
0,0,1.3862943611198906,0,0
1,0,1.6094379124341003,0,0
0,0,1.791759469228055,0,0
0,0,0,0,0
0,0,0.6931471805599453,0,0
0,0,1.0986122886681098,0,0
1,0,1.3862943611198906,0,0
1,0,1.6094379124341003,0,0
1,0,1.791759469228055,0,0
0,0,0,1,0
1,0,0.6931471805599453,1,0
1,0,1.0986122886681098,1,0
1,0,1.3862943611198906,1,0
1,0,1.6094379124341003,1,0
1,0,1.791759469228055,1,0
0,0,0,1,1
0,0,0.6931471805599453,1,1
0,0,1.0986122886681098,1,1
1,0,1.3862943611198906,1,1
1,0,1.6094379124341003,1,1
1,0,1.791759469228055,1,1
0,0,0,,0
0,0,0.6931471805599453,,0
0,0,1.0986122886681098,,0
0,0,1.3862943611198906,,0
0,0,1.6094379124341003,,0
0,0,1.791759469228055,,0
0,1,0,0,0
0,1,0.6931471805599453,0,0
0,1,1.0986122886681098,0,0
0,1,1.3862943611198906,0,0
0,1,1.6094379124341003,0,0
0,1,1.791759469228055,0,0
0,0,0,0,0
0,0,0.6931471805599453,0,0
0,0,1.0986122886681098,0,0
0,0,1.3862943611198906,0,0
0,0,1.6094379124341003,0,0
0,0,1.791759469228055,0,0
0,0,0,0,0
0,0,0.6931471805599453,0,0
0,0,1.0986122886681098,0,0
0,0,1.3862943611198906,0,0
1,0,1.6094379124341003,0,0
1,0,1.791759469228055,0,0
0,0,0,1,0
0,0,0.6931471805599453,1,0
1,0,1.0986122886681098,1,0
1,0,1.3862943611198906,1,0
1,0,1.6094379124341003,1,0
1,0,1.791759469228055,1,0
0,0,0,,1
0,0,0.6931471805599453,,1
0,0,1.0986122886681098,,1
0,0,1.3862943611198906,,1
0,0,1.6094379124341003,,1
0,0,1.791759469228055,,1
0,0,0,,0
1,0,0.6931471805599453,,0
1,0,1.0986122886681098,,0
1,0,1.3862943611198906,,0
0,0,1.6094379124341003,,0
1,0,1.791759469228055,,0
0,1,0,1,1
0,1,0.6931471805599453,1,1
0,1,1.0986122886681098,1,1
0,1,1.3862943611198906,1,1
0,1,1.6094379124341003,1,1
0,1,1.791759469228055,1,1
0,1,0,,0
0,1,0.6931471805599453,,0
1,1,1.0986122886681098,,0
1,1,1.3862943611198906,,0
1,1,1.6094379124341003,,0
1,1,1.791759469228055,,0
0,0,0,1,0
0,0,0.6931471805599453,1,0
1,0,1.0986122886681098,1,0
0,0,1.3862943611198906,1,0
1,0,1.6094379124341003,1,0
1,0,1.791759469228055,1,0
0,0,0,1,0
0,0,0.6931471805599453,1,0
0,0,1.0986122886681098,1,0
0,0,1.3862943611198906,1,0
1,0,1.6094379124341003,1,0
0,0,1.791759469228055,1,0
0,0,0,1,0
0,0,0.6931471805599453,1,0
0,0,1.0986122886681098,1,0
0,0,1.3862943611198906,1,0
1,0,1.6094379124341003,1,0
0,0,1.791759469228055,1,0
0,1,0,1,1
0,1,0.6931471805599453,1,1
1,1,1.0986122886681098,1,1
1,1,1.3862943611198906,1,1
1,1,1.6094379124341003,1,1
1,1,1.791759469228055,1,1
0,1,0,,1
0,1,0.6931471805599453,,1
1,1,1.0986122886681098,,1
1,1,1.3862943611198906,,1
1,1,1.6094379124341003,,1
1,1,1.791759469228055,,1
